BẢNG GIÁ DỊCH VỤ CHĂM SÓC DA CÔNG NGHỆ CAO,,,
STT,Tên dịch vụ,Giá 1 buổi,
1,Chăm sóc da chuyên sâu,700.000,
2,Trị mụn chuyên sâu,700.000,
3,Chăm sóc da cấp ô xi tươi,800.000,
4,Chăm sóc da thải độc da,800.000,
5,Chăm sóc da cấp nước đa tầng,800.000,
6,Chăm sóc da nano kim cương,1.500.000,
7,Chăm sóc da nâng cơ 7 điểm vàng,800.000,
8,Chăm sóc da dưỡng sinh mắt,800.000,
9,Trẻ hóa IPL,1.200.000,
10,Laser carbon,1.200.000,
11,Peel trị thâm Inno A,2.500.000,
12,Vikim trẻ hóa (Ultra căng bóng da),1.500.000,
13,Peel điều trị mụn chuyên sâu,2.500.000,
14,Vikim medic (Nano màng sinh học),1.800.000,
15,Peel trẻ hóa tái tạo tế bào Tretinoin,2.500.000,
16,Peel trẻ hóa xóa nhăn Ribo,2.500.000,
17,Nano collagen trẻ hóa da,2.500.000,
18,Meso căng bóng trẻ hóa,3.000.000,
,,,
"Gói buffet CSD Công nghệ cao đang được sale 50%, chia làm 3 mức giá:",,,
STT,TÊN GÓI,CÁC DỊCH VỤ TRONG GÓI,
1,Gói  Buffet CNC 6 triệu,"Chăm sóc da chuyên sâu, trị mụn chuyên sâu, chăm sóc da cấp ô xi tươi, chăm sóc da thải độc da, chăm sóc da cấp nước đa tầng, chăm sóc da nano kim cương, chăm sóc da nâng cơ 7 điểm vàng, chăm sóc da dưỡng sinh mắt, trẻ hóa IPL, Laser carbon, peel trị thâm inno A, vikim trẻ hóa (Ultra căng bóng da)",
2,Gói  Buffet CNC 7 triệu,"Tất cả dịch vụ của gói 6 triệu và peel điều trị mụn chuyên sâu, vikim medic (Nano màng sinh học), peel trẻ hóa tái tạo tế bào Tretinoin",
3,Gói  Buffet CNC 10 triệu,"Tất cả dịch vụ của gói 7 triệu và peel trẻ hóa xóa nhăn Ribo, Nano collagen trẻ hóa da, Meso căng bóng trẻ hóa",
"Mỗi gói sử dụng tối đa 10 buổi, khách hàng được lựa chọn đa dịch vụ, không giới hạn số lần sử dụng",,,
Cá nhân hoá phác đồ điều trị theo từng khách hàng,,,
Thời gian sử dụng 1 gói trong vòng 3 tháng (Tính từ ngày đầu tiên sử dụng dịch vụ),,,
,,,
Dịch vụ nổi bật,,,
1. Nâng cơ trẻ hóa Dr. Medi,,,
- Liệu pháp không xâm lấn – an toàn – mang lại hiệu quả rõ rệt,,,
"- Giúp nâng cơ, săn chắc , đều màu da và cải thiện tình trạng chảy xệ. Giúp gương mặt tươi tắn, rạng rỡ và trẻ trung tự nhiên",,,
Giá 1 buổi: 1.500.000 đ,,,
Khuyến mãi: Sale chỉ còn 8 triệu 1 combo 10 buổi (Giá gốc 15 triệu),,,
,,,
2. Trẻ hóa da Ultherapy,,,
- Sử dụng năng lượng sóng siêu âm hội tụ vi điểm (MFU) tác động chính xác đến lớp cân cơ SMAS,,,
"- Giúp nâng cơ, làm săn chắc da và giảm nếp nhăn, giảm chảy xệ vùng hàm, má, nọng cằm, cổ",,,
"- Giúp kích thích sản sinh collagen và elastin tự nhiên, mang lại hiệu quả trẻ hóa lâu dài mà KHÔNG cần phẫu thuật hay nghỉ dưỡng.",,,
"- Quá trình thực hiện liệu trình chuẩn y khoa, KHÔNG đau, cực an toàn cho da, chuyên viên theo sát từng bước để đảm bảo độ chính xác & an toàn tối đa.",,,
Giá 1 buổi: 20.000.000 đ,,,
"Khuyến mãi:
- Giảm giá còn 8 triệu/buổi
- Mua 2 buổi Ultherapy full-face được tặng 1 buổi Ultherapy cổ",,,
,,,
3. Căng bóng da tráng gương kim cương,,,
- Quy trình độc quyền hơn 20 bước chăm sóc trong 1 buổi điều trị,,,
"- Giúp làn da thoáng sạch, căng bóng, tráng gương, ngậm nước",,,
- Thư giãn tâm trí tuyệt đối với tinh dầu thiên nhiên,,,
