Mục,Nội dung
=== SECTION 1: BẢNG GIÁ DỊCH VỤ CHĂM SÓC DA ===,"Phần này liệt kê giá lẻ, ưu đãi khách mới và phạm vi gói buffet của các dịch vụ chăm sóc da tại Dr. Medispa."
Giá Chăm sóc da chuyên sâu,"Dr. Medispa cung cấp dịch vụ Chăm sóc da chuyên sâu giá lẻ 700.000đ/buổi, ưu đãi khách mới 199.000đ/buổi, có trong gói buffet 6/7/10 triệu, giúp làm sạch sâu, dưỡng ẩm và phục hồi da."
Giá Trị mụn chuyên sâu,"Dr. Medispa cung cấp dịch vụ Trị mụn chuyên sâu giá lẻ 700.000đ/buổi, ưu đãi khách mới 199.000đ/buổi, có trong gói buffet 6/7/10 triệu, lấy nhân mụn chuẩn y khoa, giảm viêm và ngừa thâm."
Giá Cấp ô xi tươi,"Dr. Medispa cung cấp dịch vụ Cấp ô xi tươi giá lẻ 800.000đ/buổi, ưu đãi khách mới 299.000đ/buổi, có trong gói buffet 6/7/10 triệu, giúp da bừng sáng tức thì và tăng đề kháng."
Giá Thải độc da,"Dr. Medispa cung cấp dịch vụ Thải độc da giá lẻ 800.000đ/buổi, ưu đãi khách mới 299.000đ/buổi, có trong gói buffet 6/7/10 triệu, loại bỏ độc tố từ ô nhiễm và mỹ phẩm."
Giá Cấp nước đa tầng,"Dr. Medispa cung cấp dịch vụ Cấp nước đa tầng giá lẻ 800.000đ/buổi, ưu đãi khách mới 299.000đ/buổi, có trong gói buffet 6/7/10 triệu, bổ sung độ ẩm sâu cho da khô."
Giá Nano kim cương,"Dr. Medispa cung cấp dịch vụ Nano kim cương giá lẻ 1.500.000đ/buổi, có trong gói buffet 6/7/10 triệu, làm mịn da, mờ vết thâm và se khít lỗ chân lông."
Giá Nâng cơ 7 điểm vàng,"Dr. Medispa cung cấp dịch vụ Nâng cơ 7 điểm vàng giá lẻ 800.000đ/buổi, ưu đãi khách mới 299.000đ/buổi, có trong gói buffet 6/7/10 triệu, làm săn chắc và định hình gương mặt."
Giá Dưỡng sinh mắt,"Dr. Medispa cung cấp dịch vụ Dưỡng sinh mắt giá lẻ 800.000đ/buổi, có trong gói buffet 6/7/10 triệu, giảm quầng thâm, bọng mắt và nếp nhăn quanh mắt."
Giá Trẻ hóa IPL,"Dr. Medispa cung cấp dịch vụ Trẻ hóa IPL giá lẻ 1.200.000đ/buổi, có trong gói buffet 6/7/10 triệu, dùng ánh sáng xung mạnh trị nám, tàn nhang, đỏ da và kích thích collagen."
Giá Laser carbon,"Dr. Medispa cung cấp dịch vụ Laser carbon giá lẻ 1.200.000đ/buổi, có trong gói buffet 6/7/10 triệu, làm sạch sâu lỗ chân lông, giảm nhờn và mờ thâm mụn."
Giá Peel trị thâm Inno A,"Dr. Medispa cung cấp dịch vụ Peel trị thâm Inno A giá lẻ 2.500.000đ/buổi, có trong gói buffet 6/7/10 triệu, làm mờ thâm sạm, đều màu da và tái tạo bề mặt da."
