Dịch vụ,Giá lẻ (VND),Gói 6 triệu,Gói 7 triệu,Gói 10 triệu
CSD Chuyên sâu,700000,x,x,x
Trị mụn chuyên sâu,700000,x,x,x
CSD Cấp oxi tươi,800000,x,x,x
CSD Thải độc da,800000,x,x,x
CSD Cấp nước đa tầng,800000,x,x,x
CSD Nano kim cương,1500000,x,x,x
CSD Nâng cơ 7 điểm vàng,800000,x,x,x
CSD Dưỡng sinh mắt,800000,x,x,x
Trẻ hóa IPL,1200000,x,x,x
Laser Carbon,1200000,x,x,x
Peel trị thâm Inno A,2500000,x,x,x
Vikim trẻ hóa (Ultra căng bóng da),1500000,,x,x
Peel điều trị mụn chuyên sâu,2500000,,x,x
Vikim Medic (Nano màng sinh học),1800000,,x,x
Peel trẻ hóa tái tạo tế bào Tretinoin,2500000,,,x
Peel trẻ hóa xóa nhăn Ribo,2500000,,,x
Nano collagen trẻ hóa da,2500000,,,x
Meso căng bóng trẻ hóa,3000000,,,x
