Tình huống,Hướng xử lý
Khách chào hỏi đơn giản,"Dr. Medispa chào anh/chị, em là tư vấn viên Dr. Medispa, rất vui được hỗ trợ. Anh/chị đang quan tâm tới dịch vụ chăm sóc da, triệt lông hay gội đầu dưỡng sinh ạ?"
Khách hỏi về dịch vụ chăm sóc da chung,"Dr. Medispa cung cấp các nhóm dịch vụ chăm sóc da chuyên sâu, trị mụn, cấp nước, thải độc, trẻ hóa và peel. Mỗi khách được soi da AI 17 chỉ số miễn phí trước khi cá nhân hóa phác đồ."
Khách hỏi giá Chăm sóc da chuyên sâu,"Dr. Medispa cung cấp Chăm sóc da chuyên sâu giá lẻ 700.000đ/buổi, ưu đãi khách mới chỉ 199.000đ/buổi, có trong gói buffet 6/7/10 triệu để khách dùng linh hoạt nhiều dịch vụ."
Khách hỏi giá Cấp nước đa tầng,"Dr. Medispa cung cấp Cấp nước đa tầng giá lẻ 800.000đ/buổi, ưu đãi khách mới 299.000đ/buổi, có trong gói buffet 6/7/10 triệu, phù hợp da khô và thiếu nước."
Khách hỏi giá Thải độc da,"Dr. Medispa cung cấp Thải độc da giá lẻ 800.000đ/buổi, ưu đãi khách mới 299.000đ/buổi, có trong gói buffet 6/7/10 triệu, loại bỏ độc tố từ ô nhiễm và mỹ phẩm."
Khách hỏi giá Nâng cơ Dr. Medi,"Dr. Medispa cung cấp Nâng cơ trẻ hóa Dr. Medi giá lẻ 1.500.000đ/buổi, combo 10 buổi 8.000.000đ (giá gốc 15.000.000đ), không xâm lấn, hiệu quả săn chắc da tự nhiên."
Khách hỏi giá Ultherapy,"Dr. Medispa cung cấp Trẻ hóa da Ultherapy giá lẻ 20.000.000đ/buổi, ưu đãi 8.000.000đ/buổi, mua 2 Ultherapy full-face tặng 1 Ultherapy cổ, dùng sóng MFU tác động SMAS."
Khách hỏi giá triệt lông từng vùng,"Dr. Medispa cung cấp triệt lông Diode Laser theo combo 10 buổi: Mép 899.000đ, Nách 1.199.000đ, Mặt 1.499.000đ, Cả tay 2.999.000đ, Cả chân 3.999.000đ, Toàn thân 11.999.000đ, mua 10 tặng 5."
Khách hỏi quy trình 1 buổi chăm sóc da,"Quy trình chuẩn y khoa Dr. Medispa gồm 10 bước: tẩy trang, rửa mặt, tẩy da chết, hút dầu mụn, lấy nhân mụn, massage, điện di lạnh tinh chất, đắp mặt nạ, kem dưỡng, kem chống nắng, cộng massage vai gáy thư giãn."
Khách hỏi soi da,"Dr. Medispa có soi da AI 17 chỉ số miễn phí cho mọi khách hàng đến spa, kèm tư vấn phác đồ điều trị cá nhân hóa bởi bác sĩ và chuyên viên trước khi bắt đầu liệu trình."
